basics.name,basics.officialName,basics.nativeName,basics.capital,basics.flagEmoji,basics.languages,codes.iso3166Alpha2,codes.iso3166Alpha3,codes.iso3166Numeric,codes.bcp47,dateTime.firstDayOfWeek,dateTime.clockFormat,dateTime.dateFormats.full,dateTime.dateFormats.long,dateTime.dateFormats.medium,dateTime.dateFormats.short,dateTime.timeFormats.full,dateTime.timeFormats.long,dateTime.timeFormats.medium,dateTime.timeFormats.short,dateTime.datePatterns.full,dateTime.datePatterns.long,dateTime.datePatterns.medium,dateTime.datePatterns.short,dateTime.timePatterns.full,dateTime.timePatterns.long,dateTime.timePatterns.medium,dateTime.timePatterns.short,dateTime.monthNames.wide,dateTime.monthNames.abbreviated,dateTime.monthNames.narrow,dateTime.dayNames.wide,dateTime.dayNames.abbreviated,dateTime.dayNames.narrow,dateTime.amPmMarkers,dateTime.timezones,dateTime.primaryTimezone,dateTime.utcOffset,numberFormat.decimalSeparator,numberFormat.thousandsSeparator,numberFormat.digitGrouping,numberFormat.pattern,numberFormat.percentExample,numberFormat.example,numberFormat.numberingSystem
Andorra,Principality of Andorra,Andorra,Andorra la Vella,🇦🇩,"[{""code"":""ca"",""iso639_2"":""cat"",""iso639_3"":""cat"",""name"":""Catalan"",""nativeName"":""català"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AD,AND,20,ca-AD,1,24h,"EEEE, d MMMM 'del' y",d MMMM 'del' y,d MMM y,d/M/yy,H:mm:ss (zzzz),H:mm:ss z,H:mm:ss,H:mm,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,Hmmsszzzz,Hmmssz,Hmmss,Hmm,de gener|de febrer|de març|d’abril|de maig|de juny|de juliol|d’agost|de setembre|d’octubre|de novembre|de desembre,de gen.|de febr.|de març|d’abr.|de maig|de juny|de jul.|d’ag.|de set.|d’oct.|de nov.|de des.,GN|FB|MÇ|AB|MG|JN|JL|AG|ST|OC|NV|DS,diumenge|dilluns|dimarts|dimecres|dijous|divendres|dissabte,dg.|dl.|dt.|dc.|dj.|dv.|ds.,dg.|dl.|dt.|dc.|dj.|dv.|ds.,a. m.|p. m.,UTC+01:00,UTC+01:00,+00:00,",",.,3,"#,##0.###","25,5 %","1.234.567,89",latn
الإمارات العربية المتحدة,United Arab Emirates,الإمارات العربية المتحدة,Abu Dhabi,🇦🇪,"[{""code"":""ar"",""iso639_2"":""ara"",""iso639_3"":""ara"",""name"":""Arabic"",""nativeName"":""العربية"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AE,ARE,784,ar-AE,1,12h,EEEE، d MMMM y,d MMMM y,dd‏/MM‏/y,d‏/M‏/y,h:mm:ss a zzzz,h:mm:ss a z,h:mm:ss a,h:mm a,yMMMMEEEEd,yMMMMd,yMMdd,yMd,ahmmsszzzz,ahmmssz,ahmmss,ahmm,يناير|فبراير|مارس|أبريل|مايو|يونيو|يوليو|أغسطس|سبتمبر|أكتوبر|نوفمبر|ديسمبر,يناير|فبراير|مارس|أبريل|مايو|يونيو|يوليو|أغسطس|سبتمبر|أكتوبر|نوفمبر|ديسمبر,ي|ف|م|أ|و|ن|ل|غ|س|ك|ب|د,الأحد|الاثنين|الثلاثاء|الأربعاء|الخميس|الجمعة|السبت,الأحد|الاثنين|الثلاثاء|الأربعاء|الخميس|الجمعة|السبت,ح|ن|ث|ر|خ|ج|س,ص|م,UTC+04:00,UTC+04:00,+00:00,.,",",3,"#,##0.###",25.5‎%‎,"1,234,567.89",latn
افغانستان,Islamic Republic of Afghanistan,افغانستان,Kabul,🇦🇫,"[{""code"":""ps"",""iso639_2"":""pus"",""iso639_3"":""pus"",""name"":""Pashto"",""nativeName"":""پښتو"",""official"":true,""direction"":""ltr"",""countries"":[]},{""code"":""uz"",""iso639_2"":""uzb"",""iso639_3"":""uzb"",""name"":""Uzbek"",""nativeName"":""Oʻzbek"",""official"":true,""direction"":""ltr"",""countries"":[]},{""code"":""tk"",""iso639_2"":""tuk"",""iso639_3"":""tuk"",""name"":""Turkmen"",""nativeName"":""Türkmen"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AF,AFG,4,ps-AF,6,24h,EEEE د y د MMMM d,y MMMM d,y MMM d,y/M/d,H:mm:ss (zzzz),H:mm:ss (z),H:mm:ss,H:mm,yMMMMEEEEd,yMMMMd,yMMMd,yMd,Hmmsszzzz,Hmmssz,Hmmss,Hmm,جنوري|فبروري|مارچ|اپریل|مۍ|جون|جولای|اګست|سېپتمبر|اکتوبر|نومبر|دسمبر,جنوري|فبروري|مارچ|اپریل|مۍ|جون|جولای|اګست|سېپتمبر|اکتوبر|نومبر|دسمبر,ج|ف|م|ا|م|ج|ج|ا|س|ا|ن|د,يونۍ|دونۍ|درېنۍ|څلرنۍ|پينځنۍ|جمعه|اونۍ,يونۍ|دونۍ|درېنۍ|څلرنۍ|پينځنۍ|جمعه|اونۍ,S|M|T|W|T|F|S,غ.م.|غ.و.,UTC+04:30,UTC+04:30,+00:00,",",.,3,"#,##0.###",۲۵٫۵٪,۱٬۲۳۴٬۵۶۷٫۸۹,arabext
Antigua & Barbuda,Antigua and Barbuda,Antigua & Barbuda,Saint John's,🇦🇬,"[{""code"":""en"",""iso639_2"":""eng"",""iso639_3"":""eng"",""name"":""English"",""nativeName"":""English"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AG,ATG,28,en-AG,7,12h,"EEEE, MMMM d, y","MMMM d, y","MMM d, y",M/d/yy,h:mm:ss a zzzz,h:mm:ss a z,h:mm:ss a,h:mm a,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,ahmmsszzzz,ahmmssz,ahmmss,ahmm,January|February|March|April|May|June|July|August|September|October|November|December,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,J|F|M|A|M|J|J|A|S|O|N|D,Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday,Sun|Mon|Tue|Wed|Thu|Fri|Sat,S|M|T|W|T|F|S,AM|PM,UTC-04:00,UTC-04:00,+00:00,.,",",3,"#,##0.###",25.5%,"1,234,567.89",latn
Anguilla,Anguilla,Anguilla,The Valley,🇦🇮,"[{""code"":""en"",""iso639_2"":""eng"",""iso639_3"":""eng"",""name"":""English"",""nativeName"":""English"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AI,AIA,660,en-AI,1,12h,"EEEE, MMMM d, y","MMMM d, y","MMM d, y",M/d/yy,h:mm:ss a zzzz,h:mm:ss a z,h:mm:ss a,h:mm a,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,ahmmsszzzz,ahmmssz,ahmmss,ahmm,January|February|March|April|May|June|July|August|September|October|November|December,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,J|F|M|A|M|J|J|A|S|O|N|D,Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday,Sun|Mon|Tue|Wed|Thu|Fri|Sat,S|M|T|W|T|F|S,AM|PM,UTC-04:00,UTC-04:00,+00:00,.,",",3,"#,##0.###",25.5%,"1,234,567.89",latn
Shqipëri,Republic of Albania,Shqipëri,Tirana,🇦🇱,"[{""code"":""sq"",""iso639_2"":""sqi"",""iso639_3"":""sqi"",""name"":""Albanian"",""nativeName"":""Shqip"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AL,ALB,8,sq-AL,1,12h,"EEEE, d MMMM y",d MMMM y,d MMM y,d.M.yy,"h:mm:ss a, zzzz","h:mm:ss a, z",h:mm:ss a,h:mm a,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,ahmmsszzzz,ahmmssz,ahmmss,ahmm,janar|shkurt|mars|prill|maj|qershor|korrik|gusht|shtator|tetor|nëntor|dhjetor,jan|shk|mar|pri|maj|qer|korr|gush|sht|tet|nën|dhj,j|sh|m|p|m|q|k|g|sh|t|n|dh,e diel|e hënë|e martë|e mërkurë|e enjte|e premte|e shtunë,die|hën|mar|mër|enj|pre|sht,d|h|m|m|e|p|sh,p.d.|m.d.,UTC+01:00,UTC+01:00,+00:00,",", ,3,"#,##0.###","25,5%","1 234 567,89",latn
Հայաստան,Republic of Armenia,Հայաստան,Yerevan,🇦🇲,"[{""code"":""hy"",""iso639_2"":""hye"",""iso639_3"":""hye"",""name"":""Armenian"",""nativeName"":""Հայերեն"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AM,ARM,51,hy-AM,1,24h,"y թ. MMMM d, EEEE","dd MMMM, y թ.","dd MMM, y թ.",dd.MM.yy,HH:mm:ss zzzz,HH:mm:ss z,HH:mm:ss,HH:mm,yMMMMEEEEd,yMMMMdd,yMMMdd,yyMMdd,HHmmsszzzz,HHmmssz,HHmmss,HHmm,հունվարի|փետրվարի|մարտի|ապրիլի|մայիսի|հունիսի|հուլիսի|օգոստոսի|սեպտեմբերի|հոկտեմբերի|նոյեմբերի|դեկտեմբերի,հնվ|փտվ|մրտ|ապր|մյս|հնս|հլս|օգս|սեպ|հոկ|նոյ|դեկ,Հ|Փ|Մ|Ա|Մ|Հ|Հ|Օ|Ս|Հ|Ն|Դ,կիրակի|երկուշաբթի|երեքշաբթի|չորեքշաբթի|հինգշաբթի|ուրբաթ|շաբաթ,կիր|երկ|երք|չրք|հնգ|ուր|շբթ,Կ|Ե|Ե|Չ|Հ|Ո|Շ,AM|PM,UTC+04:00,UTC+04:00,+00:00,",", ,3,"#,##0.###","25,5%","1 234 567,89",latn
Angola,Republic of Angola,Angola,Luanda,🇦🇴,"[{""code"":""pt"",""iso639_2"":""por"",""iso639_3"":""por"",""name"":""Portuguese"",""nativeName"":""Português"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AO,AGO,24,pt-AO,1,24h,"EEEE, d 'de' MMMM 'de' y",d 'de' MMMM 'de' y,d 'de' MMM 'de' y,dd/MM/y,HH:mm:ss zzzz,HH:mm:ss z,HH:mm:ss,HH:mm,yMMMMEEEEd,yMMMMd,yMMMd,yMMdd,HHmmsszzzz,HHmmssz,HHmmss,HHmm,janeiro|fevereiro|março|abril|maio|junho|julho|agosto|setembro|outubro|novembro|dezembro,jan.|fev.|mar.|abr.|mai.|jun.|jul.|ago.|set.|out.|nov.|dez.,J|F|M|A|M|J|J|A|S|O|N|D,domingo|segunda-feira|terça-feira|quarta-feira|quinta-feira|sexta-feira|sábado,dom.|seg.|ter.|qua.|qui.|sex.|sáb.,D|S|T|Q|Q|S|S,AM|PM,UTC+01:00,UTC+01:00,+00:00,",",.,3,"#,##0.###","25,5%","1 234 567,89",latn
Antarctica,Antarctica,Antarctica,,🇦🇶,"[{""code"":""en"",""iso639_2"":""eng"",""iso639_3"":""eng"",""name"":""English"",""nativeName"":""English"",""official"":true,""direction"":""ltr"",""countries"":[]},{""code"":""ru"",""iso639_2"":""rus"",""iso639_3"":""rus"",""name"":""Russian"",""nativeName"":""Русский"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AQ,ATA,10,en-AQ,1,12h,"EEEE, MMMM d, y","MMMM d, y","MMM d, y",M/d/yy,h:mm:ss a zzzz,h:mm:ss a z,h:mm:ss a,h:mm a,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,ahmmsszzzz,ahmmssz,ahmmss,ahmm,January|February|March|April|May|June|July|August|September|October|November|December,Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec,J|F|M|A|M|J|J|A|S|O|N|D,Sunday|Monday|Tuesday|Wednesday|Thursday|Friday|Saturday,Sun|Mon|Tue|Wed|Thu|Fri|Sat,S|M|T|W|T|F|S,AM|PM,UTC-03:00|UTC+03:00|UTC+05:00|UTC+06:00|UTC+07:00|UTC+08:00|UTC+10:00|UTC+12:00,UTC-03:00,+00:00,.,",",3,"#,##0.###",25.5%,"1,234,567.89",latn
Argentina,Argentine Republic,Argentina,Buenos Aires,🇦🇷,"[{""code"":""es"",""iso639_2"":""spa"",""iso639_3"":""spa"",""name"":""Spanish"",""nativeName"":""Español"",""official"":true,""direction"":""ltr"",""countries"":[]},{""code"":""gn"",""iso639_2"":""grn"",""iso639_3"":""grn"",""name"":""Guaraní"",""nativeName"":""Avañe'ẽ"",""official"":true,""direction"":""ltr"",""countries"":[]}]",AR,ARG,32,es-AR,1,24h,"EEEE, d 'de' MMMM 'de' y",d 'de' MMMM 'de' y,d MMM y,d/M/yy,H:mm:ss (zzzz),H:mm:ss z,H:mm:ss,H:mm,yMMMMEEEEd,yMMMMd,yMMMd,yyMd,Hmmsszzzz,Hmmssz,Hmmss,Hmm,enero|febrero|marzo|abril|mayo|junio|julio|agosto|septiembre|octubre|noviembre|diciembre,ene|feb|mar|abr|may|jun|jul|ago|sept|oct|nov|dic,E|F|M|A|M|J|J|A|S|O|N|D,domingo|lunes|martes|miércoles|jueves|viernes|sábado,dom|lun|mar|mié|jue|vie|sáb,D|L|M|X|J|V|S,a. m.|p. m.,UTC-03:00,UTC-03:00,+00:00,",",.,3,"#,##0.###","25,5%","1.234.567,89",latn
